Campaign_ID,Channel,Product_Category,Region,Budget,Spend,Impressions,Clicks,CTR,Conversions,CR,Revenue,ROI,Duration,Customer_Satisfaction,Campaign_Effectiveness,Market_Segment,porcentaje_nulos
cam0029,2,2,3,385360.0,200263.0,315849.0,25921.0,0.3065,4448.0,0.6484,1957641.9176799997,2.22,139.0,1.0,8.0,1,10.526315789473683
cam0030,1,2,2,340954.0,26219.0,223573.0,31793.0,0.953,9957.0,0.6445,204500.0,4.68,185.0,3.4,6.4,1,21.052631578947366
cam0031,0,-1,1,327702.0,232860.0,121327.0,34713.6,0.2607,5361.0,0.7959,209976.0,2.56,270.0,1.0,6.0,1,21.052631578947366
cam0032,4,3,0,110168.0,348758.0,538171.0,28030.0,0.1921,3806.0,0.8366,348587.0,0.25,14.0,3.0,6.0,1,0.0
cam0033,4,0,3,41050.0,370588.42318000004,7057.0,45495.0,1.0168590368000001,9853.0,0.638,196892.0,1.15,152.0,2.0,10.0,1,21.052631578947366
cam0034,1,1,0,207185.8,319470.02318,80612.0,14156.0,0.589,7695.0,0.30338,7235499.141,3.35,334.0,3.8,7.0,1,21.052631578947366
cam0035,-1,2,2,205024.0,182527.0,627106.0,13678.0,0.2003,9349.0,0.619,606559.0,3.36,110.0,3.2,6.0,0,10.526315789473683
cam0036,0,2,1,222236.0,484411.6,779175.0,29099.0,0.5472,8281.0,0.3814,106135.0,2.17,181.0,1.0,8.0,0,10.526315789473683
cam0037,2,4,1,164632.0,24587.0,36280.0,34447.0,0.2923,4389.0,0.3237,387895.0,3.6119999999999997,106.0,3.0,7.0,0,5.263157894736842
cam0038,1,2,3,489524.0,105435.0,381179.0,37233.0,0.1254,7801.0,0.3285,94120.0,4.33,129.0,4.0,6.0,0,0.0
cam0039,-1,2,3,141279.0,394172.0,28177.0,22125.0,1.006076522,3722.0,0.4952,339747.0,0.7,52.0,3.2,5.4,0,15.789473684210526
cam0041,0,3,1,178084.0,56568.0,755022.0,33089.0,0.2024,5542.0,0.76904,582129.0,1.4,175.0,4.0,1.0,2,10.526315789473683
cam0042,1,0,2,116271.0,100040.0,711959.0,7916.0,0.0513,7378.0,0.9318,577938.0,1.39,361.0,3.0,10.0,2,5.263157894736842
cam0043,4,1,1,363391.0,43684.0,221957.0,32289.0,0.0509,3159.0,0.3617,883636.0,1.74,17.0,2.0,1.0,2,5.263157894736842
cam0044,0,2,2,45443.0,228722.8,686626.8,20106.0,0.3078,1768.0,4.597408585,536807.6,3.3080000000000007,115.0,3.0,8.0,0,21.052631578947366
cam0046,0,2,1,125653.0,352441.0,798800.0,48697.0,0.2494,5474.0,0.2691,334337.0,0.22,277.0,3.8,10.0,1,5.263157894736842
cam0048,3,1,1,241056.2,191302.0,346560.0,25464.0,0.5518,3964.8,0.6178,663506.0,0.13,306.0,3.0,2.0,2,10.526315789473683
cam0049,3,4,1,37974.0,339679.0,707063.0,29594.0,0.7985,2208.0,0.0163,527787.0,2.7960000000000003,339.0,3.0,3.0,0,5.263157894736842
cam0050,4,1,2,226647.0,475698.8,666045.0,27541.4,0.1088,8865.0,0.4611,631958.0,0.97,222.0,3.6,9.0,1,15.789473684210526
cam0052,3,2,0,489017.0,196768.0,563696.0,14987.0,0.4893,1464.0,0.8502,788064.0,4.76,60.0,4.0,1.0,1,0.0
cam0053,1,2,4,77077.0,215686.0,47556.0,48657.0,0.3028,6582.0,0.6444,36149.0,4.57,98.0,4.0,8.0,0,0.0
cam0054,3,4,1,337812.0,123640.0,853822.0,12611.2,0.7369,8263.0,0.7213,6496142.093,1.24,109.8,1.0,5.0,-1,15.789473684210526
cam0055,2,0,4,249885.8,78242.0,595962.8,47580.0,0.602,2857.4,0.250133467,854151.0,0.06,192.0,5.0,7.4,0,21.052631578947366
cam0056,2,4,1,233875.0,226324.8,632425.2,6568.0,1.4428748511999998,1992.0,0.2196,656075.0,0.44,282.0,2.0,4.0,1,15.789473684210526
cam0057,0,-1,3,334658.0,306667.0,570471.0,10848.0,0.6999,2206.0,0.5857,877371.0,4.47,288.0,3.0,5.8,0,10.526315789473683
cam0059,1,1,2,392610.0,56421.0,447783.0,2913.0,0.0472,2996.0,0.9305,258100.0,3.52,257.0,4.0,7.0,2,0.0
cam0060,3,0,-1,137400.0,386420.0,473252.2,24850.0,0.6548,1067.0,0.3525,917943.0,2.76,304.0,2.8,7.0,1,15.789473684210526
cam0061,-1,0,0,393921.0,33974.0,691136.0,43395.0,0.139,347.0,0.4943,618473.2,1.61,43.0,1.0,5.0,1,10.526315789473683
cam0062,3,2,3,287494.0,162162.0,398956.0,24141.0,0.7594,4421.8,0.8788,307547.0,2.15,208.0,3.0,8.0,1,15.789473684210526
cam0063,1,4,0,451904.0,149947.0,508961.0,31689.0,0.1154,7142.0,0.6765,278677.0,3.104,194.4,1.0,3.0,2,10.526315789473683
cam0065,3,4,2,306185.0,287549.0,664100.0,16354.0,0.8767,3880.8,0.56952,878418.0,3.02,232.0,1.0,9.0,1,10.526315789473683
cam0066,4,1,-1,236513.2,8281.0,514858.0,26611.0,0.0075,5513.0,0.6249,762477.0,0.69,199.0,2.0,2.0,1,10.526315789473683
cam0067,3,3,-1,225437.0,281846.0,332104.0,39328.0,0.6082599999999999,5947.0,0.1784,538126.2924,1.33,8.0,3.0,8.0,0,15.789473684210526
cam0069,3,1,2,292779.0,257090.0,203723.0,20314.0,0.7739,2296.0,0.9396,273651.0,4.44,349.0,1.0,6.0,0,0.0
cam0070,4,2,3,88894.0,102829.0,218181.0,2056.0,0.8144,6354.0,0.9678,910878.0,4.48,241.0,2.8,6.8,1,15.789473684210526
cam0071,3,4,1,278053.0,396530.0,415251.0,29122.0,0.1604,4894.0,0.707350724,446049.0,0.65,278.0,3.0,5.0,2,0.0
cam0072,4,1,2,79969.0,23072.0,665371.0,29386.0,0.7338,4289.0,0.8788,660917.0,1.19,332.0,5.0,3.0,2,0.0
cam0073,4,3,-1,71778.0,55356.0,355326.0,9515.0,0.8576,2277.0,0.0734,593097.0,4.61,254.0,5.0,1.0,0,5.263157894736842
cam0074,4,0,4,218885.8,70812.0,246018.0,2490.0,0.4994,441.0,0.0003,585131.0,3.008,330.0,3.0,9.0,0,10.526315789473683
cam0075,4,4,3,84293.0,54524.0,136340.0,43269.0,0.7627,5046.0,0.5947,740529.0,1.12,301.0,5.0,3.0,2,0.0
cam0076,2,3,1,148901.0,323599.0,486902.0,19488.8,0.8676,1781.0,0.093,202282.0,2.48,88.0,2.0,5.4,0,10.526315789473683
cam0077,1,-1,0,180111.2,395146.0,203526.0,786.0,0.9661,3407.0,0.5462,71688.0,2.78,151.0,2.0,3.0,2,10.526315789473683
cam0079,3,4,4,433858.5916,373251.0,764539.0,39435.0,0.424,6377.0,0.2256,831961.0,0.99,8.0,5.0,14.869793923999998,2,5.263157894736842
cam0080,3,-1,1,234111.6,122205.0,521665.0,21669.0,0.9139,3261.0,1.400961717,449988.0,3.77,275.0,3.0,3.0,2,15.789473684210526
cam0081,0,3,3,120303.0,165589.2,503454.0,5878.0,0.1935,5118.0,0.3484,735919.0,3.73,348.0,1.0,1.0,1,5.263157894736842
cam0082,0,4,1,390816.0,284790.0,399811.0,32929.0,0.6498,1534.0,0.5404,158823.0,1.34,155.0,2.0,5.0,1,5.263157894736842
cam0083,3,4,4,360174.0,12534.0,471124.0,15915.0,0.6555,5597.0,0.7231,894902.0,4.0,22.0,5.0,7.0,-1,5.263157894736842
cam0084,2,2,0,57498.0,33870.0,851998.0,29268.0,0.8654,8067.0,0.9298,422825.0,1.03,295.0,4.0,2.0,0,0.0
cam0085,2,1,2,288929.2,310139.0,753079.0,21753.0,0.6319,6575.0,0.982,109855.0,4.59,177.0,2.0,8.2,1,10.526315789473683
cam0086,3,4,-1,163590.0,198600.0,425955.0,19158.0,0.5237,6711.0,0.7908,215672.0,3.14,91.0,5.0,8.0,2,5.263157894736842
cam0087,1,-1,0,288380.0,218987.0,845550.0,15660.0,0.3849,7556.0,0.77206,653856.0,3.74,112.4,3.0,8.891494937,0,15.789473684210526
cam0088,1,4,0,33982.0,249632.0,131540.0,16106.0,0.8329,3228.0,0.4847,705389.0,2.0,82.0,3.0,10.0,0,0.0
cam0089,2,2,-1,464714.0,298018.0,426011.4,34604.0,0.338,2323.0,0.5864999999999999,688269.0,2.29,113.0,4.0,3.0,2,15.789473684210526
cam0090,0,3,3,261293.0,239895.0,30717.0,21332.0,0.1701,9265.0,0.4716,980255.0,1.68,201.2,4.0,4.4,2,10.526315789473683
cam0091,0,-1,3,300266.0,12107.0,989271.0,13912.0,0.7189,3766.0,0.9125,979816.0,0.23,254.0,5.0,6.6,0,10.526315789473683
cam0092,4,3,1,240678.0,262587.0,675119.0,33224.0,0.9828,713.0,0.0258,211201.0,0.72,86.0,4.0,7.0,1,0.0
cam0093,3,1,4,57369.0,387773.0,944271.0,33114.0,0.2414,5122.0,0.3162,526244.0,1.85,27.0,2.0,6.0,2,0.0
cam0096,1,4,4,160699.0,412895.0,540998.0,14098.0,0.3818,5785.0,0.4865,576303.0,1.09,8.0,1.0,10.0,-1,10.526315789473683
cam0097,4,0,0,463910.0,298547.2,284471.0,16142.0,0.9132,3996.4,0.3616400000000001,558709.2,3.56,215.6,3.4,10.0,1,31.57894736842105
cam0098,4,1,3,423274.0,483403.6,829762.0,7240.0,0.0209,8933.0,0.291,249975.0,3.01,82.0,2.0,8.0,0,5.263157894736842
cam0099,2,1,2,404627.0,384560.0,884588.0,37345.0,0.44954,134.0,0.5445,714036.0,0.17,326.0,3.0,6.0,-1,10.526315789473683
cam0100,4,3,4,379386.0,257773.0,380845.0,37271.0,0.1338,8242.0,0.5004,144096.0,3.95,4.0,3.0,6.0,0,10.526315789473683
cam0101,0,3,0,204444.4,430731.0,576035.4,22033.0,0.688,871.0,0.5532,146253.0,1.49,296.0,1.0,10.0,1,15.789473684210526
cam0102,1,3,4,357142.0,282818.0,163314.0,21389.0,0.1997,1123.0,0.5169,200414.0,1.18,130.4,4.0,6.0,2,5.263157894736842
cam0103,1,2,4,35511.0,382657.0,329528.0,29397.0,0.9626,1114.0,0.4664,831496.0,2.89,222.0,2.4,6.0,2,10.526315789473683
cam0104,0,-1,0,378728.0,118020.0,959663.0,10749.0,0.6641,9113.0,0.5745800000000001,552498.0,4.3,183.0,3.0,4.0,0,10.526315789473683
cam0105,2,1,0,17296.0,206501.0,514341.0,46601.0,0.9177,1001.0,0.8038,93948.0,1.77,78.0,3.0,4.0,2,10.526315789473683
cam0107,0,4,3,192348.2,300488.42318000004,708475.0,34889.0,0.6479,8835.0,0.9255,877920.0,0.33,61.0,3.6,7.0,1,21.052631578947366
cam0108,1,2,3,354355.0,265538.4,37124.0,17742.0,0.0668,4117.0,0.0016,624303.0,3.52,40.0,4.0,3.0,2,10.526315789473683
cam0109,3,1,1,385762.0,230257.0,897917.0,29593.0,0.5626,4991.6,0.3254,216606.0,4.46,349.0,2.8,9.0,1,15.789473684210526
cam0110,-1,2,3,292903.0,255339.0,700146.0,8641.0,0.7148,8702.0,0.2895,571098.0,4.18,270.0,2.0,7.0,2,10.526315789473683
cam0111,1,2,1,100306.0,269112.0,505543.0,19310.2,0.7742,1752.0,0.0579,332355.0,3.34,260.0,2.0,4.0,1,10.526315789473683
cam0112,3,3,3,160492.0,211951.0,367940.0,40491.0,0.1646,9869.0,0.0404,807736.4996,2.64,107.0,4.0,2.0,-1,10.526315789473683
cam0113,0,2,3,320750.0,230161.0,233502.0,47781.0,0.6888,8677.0,0.1964,501123.0,4.95,343.0,5.0,7.0,1,0.0
cam0115,1,4,0,223067.0,248588.02318000002,851075.0,45881.0,0.7288590368000001,8162.0,0.8425,570757.0,2.87,237.0,4.0,2.0,2,21.052631578947366
cam0116,1,-1,4,330221.0,180781.0,941603.0,22330.0,0.973,7650.0,0.32502,2243270.9104,3.56,298.0,5.0,3.0,2,15.789473684210526
cam0117,0,4,2,354907.0,447908.0,752443.0,20911.0,0.70862,2484.0,0.6684,40384.0,3.18,50.0,3.6422175472,10.0,1,10.526315789473683
cam0118,2,0,4,260497.0,79942.0,785266.0,34954.0,0.4223,7406.0,0.1399,45025.0,2.25,139.0,5.0,3.0,2,0.0
cam0120,0,4,1,231366.0,289810.8,114928.0,44649.0,0.2186,8070.0,6.669730957,233907.0,4.92,272.0,2.0,3.0,0,10.526315789473683
cam0121,4,3,0,90141.0,237959.0,272357.0,42418.0,0.2807,9391.0,0.6803,710913.0,1.57,293.0,1.0,7.0,0,0.0
cam0122,3,2,4,152780.0,24667.0,774726.0,20550.8,0.0115,7197.0,0.1348,667665.0,4.52,61.0,2.0,9.0,2,10.526315789473683
cam0123,0,4,2,480930.0,64444.0,612005.0,26940.0,0.3104,8268.0,0.6607,2304582.1103999997,4.11,332.0,3.8,4.0,1,15.789473684210526
cam0124,4,3,1,155800.0,196991.0,774325.6,28136.0,0.7163,5470.2,0.2687,771809.0,3.0440000000000005,175.0,5.0,4.0,0,26.31578947368421
cam0125,0,4,4,177411.0,209574.0,320821.0,22490.8,0.6235,1603.0,1.9500717913999999,211295.0,3.3,233.0,5.0,10.0,0,10.526315789473683
cam0126,-1,3,4,38132.0,326709.0,252166.0,34620.0,0.1976,1288.0,0.495,18120.0,2.16,156.0,4.0,2.0,2,10.526315789473683
cam0128,4,2,-1,237458.8,79669.0,1033974.9037999999,13665.0,0.3142,6246.0,0.4207,850279.0,4.01,168.0,5.0,7.0,2,15.789473684210526
cam0130,1,0,0,367644.0,199812.0,319582.0,38464.0,0.7237,3280.0,0.38644,513039.0,3.75,319.0,4.0,8.0,1,10.526315789473683
cam0131,1,1,3,183607.0,169257.0,633163.0,22412.0,0.1213,1181.0,0.8013,56472.0,3.258,230.0,4.0,6.0,1,5.263157894736842
cam0132,4,1,3,238025.0,335445.0,800413.0,4721.0,0.7824,4309.0,0.4086,197236.0,3.72,186.0,2.0,1.0,2,0.0
cam0133,4,3,1,42420.0,313289.0,417768.0,25110.0,0.7564,9671.0,0.2447,2228372.1103999997,2.63,274.0,2.0,9.0,-1,15.789473684210526
cam0134,3,4,3,21139.0,184164.0,902187.0,36833.0,0.4878,5239.0,0.9578,238663.0,3.07,5.0,5.0,4.0,0,5.263157894736842
cam0135,0,2,1,291008.0,150752.0,226048.0,42231.0,0.3343,3400.0,0.0125,749418.0,4.24,135.2,3.0,3.0,0,5.263157894736842
cam0136,1,2,-1,82104.0,132018.0,386855.0,21611.0,0.3222,9138.0,0.5218,583604.0,3.09,237.0,5.0,6.0,0,5.263157894736842
cam0138,2,2,0,219535.0,262703.0,560420.0,32668.0,0.2104,2548.0,0.5581,41733.0,0.66,47.0,3.0,2.0,2,0.0
cam0139,-1,4,1,395421.0,131770.0,270591.0,37019.0,0.8878,5797.0,0.4654,955751.0,1.96,114.0,3.0,10.0,0,10.526315789473683
cam0140,4,1,2,490566.0,25641.0,437869.0,19196.0,0.2559,3107.0,0.0686,515359.2,1.57,229.0,3.0,5.2,2,21.052631578947366
cam0141,2,2,3,157339.0,251964.0,538581.0,16738.0,0.7746,8419.0,1.577504113,469199.0,1.29,15.0,1.0,9.0,0,10.526315789473683
cam0142,0,1,4,12366.0,234663.0,186530.0,31521.0,0.8397,2922.0,0.5536599999999999,788902.0,1.18,294.0,3.0,5.0,0,10.526315789473683
cam0143,4,4,0,284559.0,338426.0,436638.0,34583.0,0.9567,2308.0,0.4558,330802.0,3.26,196.0,1.0,6.0,2,0.0
cam0144,2,2,1,94948.0,148890.0,225602.9389,29162.0,0.1989,8772.0,0.2973,318169.0,0.65,261.0,3.0,6.0,2,0.0
cam0145,2,3,2,192832.8,55596.0,40289.0,58765.1584,0.572,9476.0,0.9797,407717.0,4.4,310.0,3.0,3.0,0,5.263157894736842
cam0146,0,3,1,98567.0,244748.0,22553.0,24754.0,0.51974,8824.0,0.9315,437682.0,2.49,5.0,4.0,4.0,2,5.263157894736842
cam0148,2,3,4,64486.0,314571.0,434971.0,16657.0,0.24,5195.4,1.175461717,363367.0,4.99,98.0,3.0,8.0,-1,15.789473684210526
cam0149,4,4,0,180422.0,92887.0,935265.0,35234.0,0.7585,4769.0,0.0288,802637.0,3.19,155.0,1.0,4.2,0,5.263157894736842
cam0151,0,3,3,98756.0,219273.0,1167607.6206,32813.0,0.1195,6502.0,0.2727,164252.0,4.43,193.4,3.0,6.0,2,10.526315789473683
cam0152,0,3,0,115095.8,210055.0,100259.0,1499.0,0.1683,5382.0,0.4651,7937382.995,4.07,121.0,3.0,4.0,1,10.526315789473683
cam0153,2,-1,0,67419.0,383830.0,66030.0,5587.0,0.1785,6221.0,0.1434,175477.0,2.08,147.0,3.0,4.0,2,10.526315789473683
cam0154,2,0,1,402625.0,200947.0,353981.0,17787.0,0.0056,6560.0,0.5271,2216283.7103999997,0.56,326.0,4.0,5.0,2,10.526315789473683
cam0155,1,1,1,452432.0,90581.0,771945.0,25515.0,0.1725,1901.0,0.7922,760894.0,2.24,170.0,4.0,62.24046456,1,0.0
cam0156,2,4,1,44060.0,48130.0,341885.0,23313.0,0.585,6473.0,1.314181717,552440.0,0.08,13.0,2.0,8.0,0,5.263157894736842
cam0157,4,2,3,357733.0,13878.0,291974.0,34323.0,0.3569,2415.0,0.1842,261795.0,1.51,3.0,2.0,4.0,0,5.263157894736842
cam0158,-1,1,-1,204408.8,228399.0,618108.4,48329.0,0.1687,1918.0,0.433,405193.0,3.25,69.6,1.0,1.0,1,31.57894736842105
cam0159,1,4,3,430757.0,97151.0,575551.4,27991.0,0.3621,5090.0,0.6623,432178.0,0.3,167.2,2.0,3.0,2,15.789473684210526
cam0160,2,3,4,468381.0,288912.0,677836.0,7538.0,0.6217,9225.0,0.5057,121059.0,4.51,484.15377,3.0,1.0,-1,15.789473684210526
cam0161,3,3,-1,131488.2,436874.0,879918.0,20690.0,0.2506,5394.0,0.0233,585676.0,3.332,196.0,4.0,10.0,2,15.789473684210526
cam0162,3,3,-1,299125.0,166788.0,130885.0,43689.0,0.6019,7327.0,0.5028400000000001,897815.0,0.34,160.0,1.0,2.0,2,15.789473684210526
cam0163,0,3,0,70190.0,236887.0,717049.0,15580.0,0.6356,3588.0,0.19,166345.0,2.93,784.6607436,1.0,9.0,2,10.526315789473683
cam0164,4,2,3,152979.0,365640.0,992701.0,27213.0,0.6279,4547.0,0.4501,908352.0,2.18,281.0,2.0,1.0,2,10.526315789473683
cam0167,3,3,3,143039.0,333146.0,618531.0,41959.0,0.8567,1596.0,0.4405,61592.0,4.73,40.0,4.0,5.0,2,0.0
cam0168,2,4,0,57558.0,11311.0,1193485.9038,15138.0,0.006,7558.0,0.5934,661168.0,1.34,228.0,4.0,7.2,0,10.526315789473683
cam0169,-1,0,3,253980.6,70451.0,692869.6,66579.16034,0.0086,8409.0,0.6835,896352.0,1.86,108.0,1.0,7.0,2,15.789473684210526
cam0170,4,2,1,26117.0,130586.0,642624.6,40763.0,0.8899,2828.0,0.117,154719.0,1.27,165.0,4.0,5.0,2,5.263157894736842
cam0171,1,4,0,375641.0,46319.0,205168.6,38367.0,0.7899,5178.0,0.1527,924017.0,2.5340000000000003,144.2,3.0,2.0,0,15.789473684210526
cam0172,1,3,1,140052.0,315549.0,979786.0,18740.2,0.9973,6170.0,0.9975,609947.0,3.34,302.0,5.0,10.0,1,10.526315789473683
cam0173,4,2,0,254510.0,97162.0,312047.0,39003.0,0.4507,3998.0,0.5032,729173.0,2.524,142.0,4.0,4.0,2,5.263157894736842
cam0174,0,4,0,406629.0,283802.2,684459.0,49577.0,0.8422,6747.0,0.1503,1038618.4254000001,4.49,156.0,5.0,3.0,0,10.526315789473683
cam0177,0,2,2,150443.0,209241.0,790702.0,35784.0,0.7419,9680.0,0.3386,69123.0,4.27,80.0,3.0,6.0,0,10.526315789473683
cam0178,4,-1,-1,116255.6,36501.0,489954.0,29676.8,0.5498,1345.0,0.7654,866680.0,1.11,211.0,2.0,44.45747469,0,21.052631578947366
cam0179,4,1,3,406773.0,116369.0,947710.0,47495.0,0.8164,9361.0,0.6177,592728.0,3.6,278.0,1.0,4.0,2,0.0
cam0180,1,4,0,182283.4,14076.0,251480.0,29200.2,0.3554,6690.497349,0.11,143541.0,3.9900000000000007,138.0,2.0,9.0,2,15.789473684210526
cam0181,1,3,1,459016.0,106318.0,277883.0,7568.0,0.7379,7294.0,0.8139,807205.0,6.572817552000001,35.0,2.0,6.8,1,15.789473684210526
cam0182,2,3,2,235442.0,270728.0,615450.6,31730.0,0.2956,4601.0,0.2636,642286.0,2.29,119.0,2.0,6.0,1,21.052631578947366
cam0183,0,3,3,85009.0,116426.0,733648.0,47870.0,0.5643,3045.0,0.3876,153312.0,0.85,107.0,8.126652642,8.0,1,5.263157894736842
cam0184,2,4,0,299190.0,179342.0,788758.0,38218.0,0.8083,8041.0,0.6855,859115.0,0.55,261.0,3.0,6.2,-1,10.526315789473683
cam0185,3,0,-1,226526.0,250010.0,838462.0,33859.0,0.0705,7174.0,0.6715,2364541.4028,0.52,1854.05775,1.0,6.0,-1,21.052631578947366
cam0186,1,-1,3,194069.0,73624.0,344001.0,32345.0,0.2002,3326.0,0.1858,404526.0,1.32,36.0,1.0,6.0,2,5.263157894736842
cam0187,-1,2,1,494650.0,39480.0,207908.0,44529.0,0.66898,9852.0,0.27518,2083137.1104,3.28,1102.980531,3.0,2.0,0,21.052631578947366
cam0188,-1,1,2,403158.0,121014.0,839916.0,444.0,0.1912,5372.4,0.209,102387.0,4.73,357.0,4.0,9.0,2,15.789473684210526
cam0189,4,4,0,458354.0,180921.0,814924.0,23285.0,0.0365,1407.0,0.6862,2184653.3104,1.71,149.0,4.0,7.0,2,5.263157894736842
cam0190,0,3,3,197622.0,33024.0,71736.0,37349.0,0.4431,4840.0,0.2044,479984.0,2.93,144.0,1.0,6.0,2,5.263157894736842
cam0191,2,4,0,452595.0,188727.0,774290.0,19520.0,0.7978,1929.0,0.5295,367919.0,2.4539999999999997,231.0,9.211087736,6.0,0,5.263157894736842
cam0192,0,1,0,317828.0,326960.0,609228.2,27201.0,0.6983,400.0,0.438,654261.4,0.34,247.4,3.0,9.0,1,15.789473684210526
cam0193,-1,4,2,35732.0,118660.0,693550.0,18996.0,0.50096,5053.2,0.934,666793.0,2.25,159.0,2.0,3.0,2,15.789473684210526
cam0194,0,2,4,169057.0,382054.0,82139.0,28168.0,0.7605,7798.0,0.2745,755872.0,4.09,203.8,4.0,9.0,0,10.526315789473683
cam0195,4,2,1,297653.0,342858.0,378161.4,43644.0,0.5134,1847.0,0.7261,481519.0,1.28,5.0,3.0,5.0,2,5.263157894736842
cam0197,0,-1,2,166770.4,403214.0,475577.0,11074.0,0.24964,4825.0,0.5543,4893201.271,2.03,121.0,2.8,1.0,2,26.31578947368421
cam0198,3,2,0,95603.0,443754.0,794478.0,48163.0,0.1373,6512.2,0.43692000000000003,2696046.7358,4.16,127.0,2.0,1.0,1,15.789473684210526
cam0199,0,2,3,430556.0,121041.0,326679.0,42185.0,0.1357,5979.0,0.3446,979597.0,3.96,117.0,1.0,2.0,0,0.0
cam0200,0,0,4,293810.8,298730.0,602909.0,22028.0,0.4855,674.0,0.8507,447236.0,3.89,163.0,4.0,7.0,0,5.263157894736842
cam0201,3,4,0,386545.0,381990.0,837225.0,3847.0,0.0945,4751.0,0.184,716671.0,1.74,9.0,4.0,3.0,2,10.526315789473683
cam0203,3,4,3,125898.0,433326.8,571568.0,9958.0,0.8173,8770.0,0.5247999999999999,958294.0,1.79,122.0,3.0,8.0,1,10.526315789473683
cam0204,4,4,3,223001.6,374003.0,799176.0,47647.0,0.2019,6346.0,0.9315,507784.0,1.87,22.0,1.0,8.0,1,5.263157894736842
cam0205,4,1,3,298972.0,331930.0,293604.0,1339.0,0.3549,815.0,0.6498,646134.6,4.32,51.0,4.0,1.0,0,5.263157894736842
cam0206,1,4,1,178523.0,70436.0,600838.0,1433.0,0.54094,6077.0,0.36862,90542.0,4.4,201.0,5.0,2.0,1,10.526315789473683
