Campaign_ID,Channel,Product_Category,Region,Budget,Spend,Impressions,Clicks,CTR,Conversions,CR,Revenue,ROI,Duration,Start_Date,End_Date,Customer_Satisfaction,Campaign_Effectiveness,Market_Segment
CAM0040,TV,Health,Kuala Lumpur,244982,,105115,15448,0.6096,226,0.7482,348860,1.11,139,24/2/2023,25/12/2023,4,6,Medium
CAM0041,Billboard,Automotive,Sarawak,178084,56568,755022,33089,0.2024,5542,,582129,1.4,175,19/1/2023,,4,1,Low
CAM0042,Radio,Fashion,Penang,116271,100040,711959,7916,0.0513,7378,0.9318,,1.39,361,23/6/2023,19/3/2023,3,10,Low
CAM0043,Social Media,Health,Sarawak,363391,43684,221957,32289,0.0509,3159,0.3617,883636,1.74,17,29/1/2023,,2,1,Low
CAM0044,Billboard,Electronics,Penang,45443,,,20106,0.3078,1768,4.597408585,,,115,15/4/2023,4/7/2023,3,8,Medium
CAM0045,Email,Health,Penang,100990,3530658.454,988105,40674,0.3811,9274,0.9479,,2.24,38,29/4/2023,31/7/2023,1,7,High
CAM0046,Billboard,Electronics,Sarawak,125653,352441,798800,48697,0.2494,5474,0.2691,334337,0.22,277,12/3/2023,7/4/2023,,10,High
CAM0047,TV,Fashion,Sabah,422072,,735784,24582,,7847,0.3213,429024,0.27,246,28/2/2023,2/9/2023,5,2,Low
CAM0048,TV,Health,Sarawak,,191302,346560,25464,0.5518,,0.6178,663506,0.13,306,28/8/2023,1/3/2023,3,2,Low
CAM0049,TV,Groceries,Sarawak,37974,339679,707063,29594,0.7985,2208,0.0163,527787,,339,9/12/2023,8/5/2023,3,3,Medium
CAM0050,Social Media,Health,Penang,226647,,666045,,0.1088,8865,0.4611,631958,0.97,222,1/5/2023,7/6/2023,,9,High
CAM0051,Social Media,Groceries,Kuala Lumpur,370735,3126301.794,279835,10725,0.6247,,,926391,4.12,73,14/10/2023,22/7/2023,4,4,Low
CAM0052,TV,Electronics,Kuala Lumpur,489017,196768,563696,14987,0.4893,1464,0.8502,788064,4.76,60,25/9/2023,18/7/2023,4,1,High
CAM0053,Radio,Electronics,Sabah,77077,215686,47556,48657,0.3028,6582,0.6444,36149,4.57,98,13/1/2023,4/4/2023,4,8,Medium
CAM0054,TV,Groceries,Sarawak,337812,123640,853822,,0.7369,8263,0.7213,6496142.093,1.24,,7/6/2023,9/12/2023,1,5,
CAM0055,Email,Fashion,Sabah,,78242,,47580,0.602,,0.250133467,854151,0.06,192,1/7/2023,18/12/2023,5,,Medium
CAM0056,Email,Groceries,Sarawak,233875,,,6568,,1992,0.2196,656075,0.44,282,10/8/2023,4/3/2023,2,4,High
CAM0057,Billboard,,Johor,334658,306667,570471,10848,0.6999,2206,0.5857,877371,4.47,288,23/4/2023,19/3/2023,3,,Medium
CAM0058,Email,Health,Penang,293435,3793472.302,387331,45558,0.1286,8989,0.9252,59029,0.94,356,12/6/2023,27/8/2023,2,8,Low
CAM0059,Radio,Health,Penang,392610,56421,447783,2913,0.0472,2996,0.9305,258100,3.52,257,14/9/2023,30/5/2023,4,7,Low
CAM0060,TV,Fashion,,137400,386420,,24850,0.6548,1067,0.3525,917943,2.76,304,7/6/2023,9/3/2023,,7,High
CAM0061,,Fashion,Kuala Lumpur,393921,33974,691136,43395,0.139,347,0.4943,,1.61,43,11/10/2023,29/11/2023,1,5,High
,TV,Electronics,Johor,287494,162162,398956,24141,0.7594,,0.8788,307547,2.15,208,30/12/2023,12/1/2023,3,,High
CAM0063,Radio,Groceries,Kuala Lumpur,451904,149947,508961,31689,0.1154,7142,0.6765,278677,,,31/8/2023,26/9/2023,1,3,Low
CAM0064,Email,Electronics,Sarawak,216858,3174009.558,946963,40762,0.7122,7907,,264543,4.41,98,10/11/2023,27/8/2023,,4,Medium
CAM0065,TV,Groceries,Penang,306185,287549,664100,16354,0.8767,,,878418,3.02,232,22/12/2023,8/4/2023,1,9,High
CAM0066,Social Media,Health,,,8281,514858,26611,0.0075,5513,0.6249,762477,0.69,199,23/5/2023,3/3/2023,2,2,High
CAM0067,TV,Automotive,,225437,281846,332104,39328,,5947,0.1784,,1.33,8,1/7/2023,15/8/2023,3,8,Medium
CAM0068,News,,Johor,2772000,3728380,1588730,14937,,9981,0.6021,,2.26,7,21/12/2023,17/2/2023,3,6,Medium
CAM0069,TV,Health,Penang,292779,257090,203723,20314,0.7739,2296,0.9396,273651,4.44,349,25/4/2023,28/11/2023,1,6,Medium
CAM0070,Social Media,Electronics,Johor,88894,102829,218181,2056,0.8144,,0.9678,910878,4.48,241,24/4/2023,12/5/2023,,,High
CAM0071,TV,Groceries,Sarawak,278053,396530,415251,29122,0.1604,4894,0.707350724,446049,0.65,278,12/1/2023,26/4/2023,3,5,Low
CAM0072,Social Media,Health,Penang,79969,23072,665371,29386,0.7338,4289,0.8788,660917,1.19,332,29/1/2023,1/6/2023,5,3,Low
CAM0073,Social Media,Automotive,,71778,55356,355326,9515,0.8576,2277,0.0734,593097,4.61,254,18/8/2023,27/5/2023,5,1,Medium
CAM0074,Social Media,Fashion,Sabah,,70812,246018,2490,0.4994,441,0.0003,585131,,330,10/7/2023,3/5/2023,3,9,Medium
CAM0075,Social Media,Groceries,Johor,84293,54524,136340,43269,0.7627,5046,0.5947,740529,1.12,301,20/12/2023,30/4/2023,5,3,Low
CAM0076,Email,Automotive,Sarawak,148901,323599,486902,,0.8676,1781,0.093,202282,2.48,88,6/4/2023,13/9/2023,2,,Medium
CAM0077,Radio,,Kuala Lumpur,,395146,203526,786,0.9661,3407,0.5462,71688,2.78,151,21/6/2023,29/11/2023,2,3,Low
CAM0078,TV,Fashion,Penang,226814,249195,743976,111831.2301,0.7728,1383,0.3276,739645,,325,11/5/2023,19/1/2023,3,2,High
CAM0079,TV,Groceries,Sabah,433858.5916,373251,764539,39435,0.424,6377,0.2256,831961,0.99,8,9/10/2023,26/5/2023,5,,Low
CAM0080,TV,,Sarawak,,122205,521665,21669,0.9139,3261,,449988,3.77,275,11/12/2023,27/5/2023,3,3,Low
CAM0081,Billboard,Automotive,Johor,120303,,503454,5878,0.1935,5118,0.3484,735919,3.73,348,5/4/2023,22/6/2023,1,1,High
CAM0082,Billboard,Groceries,Sarawak,390816,284790,399811,32929,0.6498,1534,,158823,1.34,155,12/12/2023,7/7/2023,2,5,High
CAM0083,TV,Groceries,Sabah,360174,12534,471124,15915,0.6555,5597,0.7231,894902,4,22,1/2/2023,31/10/2023,5,7,
CAM0084,Email,Electronics,Kuala Lumpur,57498,33870,851998,29268,0.8654,8067,0.9298,422825,1.03,295,11/3/2023,25/10/2023,4,2,Medium
CAM0085,Email,Health,Penang,,310139,753079,21753,0.6319,6575,0.982,109855,4.59,177,14/2/2023,12/11/2023,2,,High
CAM0086,TV,Groceries,,163590,198600,425955,19158,0.5237,6711,0.7908,215672,3.14,91,26/1/2023,12/7/2023,5,8,Low
CAM0087,Radio,,Kuala Lumpur,288380,218987,845550,15660,0.3849,7556,,653856,3.74,,7/2/2023,17/4/2023,3,8.891494937,Medium
CAM0088,Radio,Groceries,Kuala Lumpur,33982,249632,131540,16106,0.8329,3228,0.4847,705389,2,82,30/5/2023,29/3/2023,3,10,Medium
CAM0089,Email,Electronics,,464714,298018,,34604,0.338,2323,,688269,2.29,113,14/7/2023,18/1/2023,4,3,Low
CAM0090,Billboard,Automotive,Johor,261293,239895,30717,21332,0.1701,9265,0.4716,980255,1.68,,18/8/2023,30/12/2023,4,,Low
CAM0091,Billboard,,Johor,300266,12107,989271,13912,0.7189,3766,0.9125,979816,0.23,254,28/9/2023,13/2/2023,5,,Medium
CAM0092,Social Media,Automotive,Sarawak,240678,262587,675119,33224,0.9828,713,0.0258,211201,0.72,86,9/11/2023,5/7/2023,4,7,High
CAM0093,TV,Health,Sabah,57369,387773,944271,33114,0.2414,5122,0.3162,526244,1.85,27,15/7/2023,26/12/2023,2,6,Low
CAM0094,,Groceries,Johor,134306,233715,,,0.6857,43686.65023,0.0282,752108,3.87,304,28/1/2023,28/9/2023,4,9,High
CAM0095,Billboard,Groceries,Sarawak,,,172342,2155,0.7585,521,0.8366,,0.94,269,24/8/2023,11/10/2023,4,1,Low
CAM0096,Radio,Groceries,Sabah,160699,412895,540998,14098,,5785,0.4865,576303,1.09,8,3/12/2023,4/10/2023,1,10,
CAM0097,Social Media,Fashion,Kuala Lumpur,463910,,284471,16142,0.9132,,,,3.56,,8/5/2023,18/11/2023,,10,High
CAM0098,Social Media,Health,Johor,423274,,829762,7240,0.0209,8933,0.291,249975,3.01,82,17/2/2023,31/3/2023,2,8,Medium
CAM0099,Email,Health,Penang,404627,384560,884588,37345,,134,0.5445,714036,0.17,326,13/7/2023,5/5/2023,3,6,
CAM0100,Social Media,Automotive,Sabah,379386,257773,,37271,0.1338,8242,0.5004,144096,3.95,4,14/2/2023,27/4/2023,3,,Medium
CAM0101,Billboard,Automotive,Kuala Lumpur,,430731,,22033,0.688,871,0.5532,146253,1.49,296,28/4/2023,,1,10,High
CAM0102,Radio,Automotive,Sabah,357142,282818,163314,21389,0.1997,1123,0.5169,200414,1.18,,30/7/2023,31/12/2023,4,6,Low
CAM0103,Radio,Electronics,Sabah,35511,382657,329528,29397,0.9626,1114,0.4664,831496,2.89,222,,9/9/2023,,6,Low
CAM0104,Billboard,,Kuala Lumpur,378728,118020,959663,10749,0.6641,9113,,552498,4.3,183,1/1/2024,23/3/2023,3,4,Medium
CAM0105,Email,Health,Kuala Lumpur,17296,206501,514341,46601,0.9177,1001,0.8038,93948,,78,,15/2/2023,3,4,Low
CAM0106,TV,Health,Penang,51967,3859511.734,884809,,0.5404,7366,0.4196,,1.61,84,9/8/2023,14/12/2023,5,8,
CAM0107,Billboard,Groceries,Johor,,,708475,34889,0.6479,8835,0.9255,877920,0.33,61,27/8/2023,18/12/2023,,,High
CAM0108,Radio,Electronics,Johor,,,37124,17742,0.0668,4117,0.0016,624303,3.52,40,18/10/2023,17/8/2023,4,3,Low
CAM0109,TV,Health,Sarawak,385762,230257,897917,29593,,,0.3254,216606,4.46,349,14/1/2023,5/2/2023,,9,High
CAM0110,,Electronics,Johor,292903,255339,700146,8641,0.7148,8702,0.2895,571098,4.18,270,,27/1/2023,2,7,Low
CAM0111,Radio,Electronics,Sarawak,100306,269112,,,0.7742,1752,0.0579,332355,3.34,260,4/7/2023,26/6/2023,2,4,High
CAM0112,TV,Automotive,Johor,160492,211951,367940,40491,0.1646,9869,0.0404,,2.64,107,12/7/2023,28/9/2023,4,2,
CAM0113,Billboard,Electronics,Johor,320750,230161,233502,47781,0.6888,8677,0.1964,501123,4.95,343,20/3/2023,6/7/2023,5,7,High
CAM0114,TV,Automotive,Penang,4307827.465,371115,,23215,0.7115,845,0.132,,4.7,81,24/7/2023,24/8/2023,3,1,Low
CAM0115,Radio,Groceries,Kuala Lumpur,,,851075,45881,,8162,0.8425,570757,2.87,237,20/5/2023,,4,2,Low
CAM0116,Radio,,Sabah,330221,180781,941603,22330,0.973,7650,,,3.56,298,8/8/2023,14/10/2023,5,3,Low
CAM0117,Billboard,Groceries,Penang,354907,447908,752443,20911,,2484,0.6684,40384,3.18,50,24/5/2023,8/6/2023,,10,High
CAM0118,Email,Fashion,Sabah,260497,79942,785266,34954,0.4223,7406,0.1399,45025,2.25,139,9/12/2023,23/12/2023,5,3,Low
CAM0119,Email,Health,,12364,144626,2004728.166,,0.1152,,0.2745,271810,2.02,37,24/7/2023,27/11/2023,4,2,Medium
CAM0120,Billboard,Groceries,Sarawak,231366,,114928,44649,0.2186,8070,6.669730957,233907,4.92,272,19/10/2023,,2,3,Medium
CAM0121,Social Media,Automotive,Kuala Lumpur,90141,237959,272357,42418,0.2807,9391,0.6803,710913,1.57,293,23/6/2023,30/11/2023,1,7,Medium
CAM0122,TV,Electronics,Sabah,152780,24667,774726,,0.0115,7197,0.1348,667665,4.52,61,,28/3/2023,2,9,Low
,Billboard,Groceries,Penang,480930,64444,612005,26940,0.3104,8268,0.6607,,4.11,332,12/6/2023,20/6/2023,,4,High
CAM0124,Social Media,Automotive,Sarawak,155800,,,28136,0.7163,,0.2687,771809,,,12/10/2023,25/4/2023,5,4,Medium
CAM0125,Billboard,Groceries,Sabah,177411,209574,320821,,0.6235,1603,,211295,3.3,233,13/6/2023,15/2/2023,5,10,Medium
CAM0126,,Automotive,Sabah,38132,326709,252166,34620,0.1976,1288,0.495,18120,2.16,,11/8/2023,31/8/2023,4,2,Low
CAM0127,Radio,Groceries,Kuala Lumpur,218230,,934260,,0.9518,1583,0.5598,445207,4.5,189,6/12/2023,20/6/2023,2,3,High
CAM0128,Social Media,Electronics,,,79669,,13665,0.3142,6246,0.4207,850279,4.01,168,17/12/2023,11/2/2023,5,7,Low
CAM0129,TV,Fashion,Sarawak,385066,274640,,94566.20048,0.4709,5920,0.6647,196150,0.32,45,10/5/2023,2/11/2023,2,2,High
CAM0130,Radio,Fashion,Kuala Lumpur,367644,199812,,38464,0.7237,3280,,513039,3.75,319,4/6/2023,21/5/2023,4,8,High
CAM0131,Radio,Health,Johor,183607,169257,633163,22412,0.1213,1181,0.8013,56472,,230,8/1/2023,1/3/2023,4,6,High
CAM0132,Social Media,Health,Johor,238025,335445,800413,4721,0.7824,4309,0.4086,197236,3.72,186,4/8/2023,29/11/2023,2,1,Low
CAM0133,Social Media,Automotive,Sarawak,42420,313289,417768,25110,0.7564,9671,0.2447,,2.63,274,,29/4/2023,2,9,
CAM0134,TV,Groceries,Johor,21139,184164,902187,36833,0.4878,5239,0.9578,238663,3.07,5,15/1/2023,,5,4,Medium
CAM0135,Billboard,Electronics,Sarawak,291008,150752,226048,42231,0.3343,3400,0.0125,749418,4.24,,23/8/2023,22/8/2023,3,3,Medium
CAM0136,Radio,Electronics,,82104,132018,386855,21611,0.3222,9138,0.5218,583604,3.09,237,25/8/2023,18/6/2023,5,6,Medium
CAM0137,Billboard,Groceries,Sarawak,47678,292433,7241226.414,12710,0.9863,8433,0.8484,7267643.448,3.67,100,26/6/2023,28/1/2023,4,5,Low
CAM0138,Email,Electronics,Kuala Lumpur,219535,262703,560420,32668,0.2104,2548,0.5581,41733,0.66,47,16/8/2023,15/2/2023,3,2,Low
CAM0139,,Groceries,Sarawak,395421,131770,270591,37019,0.8878,5797,0.4654,955751,1.96,114,,20/5/2023,3,10,Medium
,Social Media,Health,Penang,490566,25641,,19196,0.2559,3107,0.0686,,1.57,229,11/8/2023,9/10/2023,3,,Low
CAM0141,Email,Electronics,Johor,,251964,538581,16738,0.7746,8419,,469199,1.29,15,30/8/2023,22/10/2023,1,9,Medium
CAM0142,Billboard,Health,Sabah,12366,234663,186530,,0.8397,2922,,788902,1.18,294,7/3/2023,15/4/2023,3,5,Medium
CAM0143,Social Media,Groceries,Kuala Lumpur,284559,338426,436638,34583,0.9567,2308,0.4558,330802,3.26,196,3/3/2023,11/5/2023,1,6,Low
CAM0144,Email,Electronics,Sarawak,94948,148890,225602.9389,29162,0.1989,8772,0.2973,318169,0.65,261,8/9/2023,7/2/2023,3,6,Low
CAM0145,Email,Automotive,Penang,,55596,40289,58765.1584,0.572,9476,0.9797,407717,4.4,310,12/4/2023,12/12/2023,3,3,Medium
CAM0146,Billboard,Automotive,Sarawak,98567,244748,22553,24754,,8824,0.9315,437682,2.49,5,15/4/2023,17/12/2023,4,4,Low
CAM0147,TV,Electronics,Sarawak,97559,,580849,16142,0.8524,573,0.5465,87707,3.92,127,21/2/2023,16/1/2023,4,10,High
CAM0148,Email,Automotive,Sabah,64486,314571,434971,16657,0.24,,,363367,4.99,98,23/5/2023,5/10/2023,3,8,
CAM0149,Social Media,Groceries,Kuala Lumpur,180422,92887,935265,35234,0.7585,4769,0.0288,802637,3.19,155,19/11/2023,11/5/2023,1,,Medium
CAM0150,Billboard,Fashion,Kuala Lumpur,223402,264617,4925670.989,40803,0.8217,8879,0.1975,7411,4.64,,17/1/2023,29/4/2023,,5,High
CAM0151,Billboard,Automotive,Johor,98756,219273,,32813,0.1195,6502,0.2727,164252,4.43,,18/2/2023,25/2/2023,3,6,Low
CAM0152,Billboard,Automotive,Kuala Lumpur,,210055,100259,1499,0.1683,5382,0.4651,7937382.995,4.07,121,,13/3/2023,3,4,High
CAM0153,Email,,Kuala Lumpur,67419,383830,66030,5587,0.1785,6221,0.1434,175477,2.08,147,,27/6/2023,3,4,Low
CAM0154,Email,Fashion,Sarawak,402625,200947,353981,17787,0.0056,,0.5271,,0.56,326,27/4/2023,31/10/2023,4,5,Low
CAM0155,Radio,Health,Sarawak,452432,90581,771945,25515,0.1725,1901,0.7922,760894,2.24,170,13/6/2023,27/1/2023,4,62.24046456,High
CAM0156,Email,Groceries,Sarawak,44060,48130,341885,23313,0.585,6473,,552440,0.08,13,9/11/2023,28/8/2023,2,8,Medium
CAM0157,Social Media,Electronics,Johor,357733,13878,291974,34323,0.3569,2415,0.1842,261795,1.51,3,24/11/2023,27/10/2023,,4,Medium
,,Health,,,228399,,48329,0.1687,1918,0.433,405193,3.25,,11/3/2023,6/6/2023,1,1,High
CAM0159,Radio,Groceries,Johor,430757,97151,,27991,,5090,0.6623,432178,0.3,,24/6/2023,5/5/2023,2,3,Low
CAM0160,Email,Automotive,Sabah,468381,288912,677836,7538,0.6217,9225,0.5057,121059,4.51,,,1/9/2023,3,1,
CAM0161,TV,Automotive,,,436874,879918,20690,0.2506,5394,0.0233,585676,,196,7/12/2023,26/9/2023,4,10,Low
,TV,Automotive,,299125,166788,130885,43689,0.6019,7327,,897815,0.34,160,22/9/2023,16/4/2023,1,2,Low
,Billboard,Automotive,Kuala Lumpur,70190,236887,717049,15580,0.6356,3588,0.19,166345,2.93,,31/10/2023,21/12/2023,1,9,Low
,Social Media,Electronics,Johor,152979,365640,992701,,0.6279,4547,0.4501,908352,2.18,281,2/5/2023,17/4/2023,2,1,Low
CAM0165,TV,Electronics,Kuala Lumpur,419998,334562,188338,35533,3.842427363,4978,0.1994,165752,,306,23/5/2023,5/9/2023,4,10,Low
CAM0166,Email,Automotive,Johor,322614,,595290,11050,0.2808,,,388852,0.79,203,29/8/2023,22/11/2023,1,2,Medium
CAM0167,TV,Automotive,Johor,143039,333146,618531,41959,0.8567,1596,0.4405,61592,4.73,40,20/10/2023,8/4/2023,4,5,Low
CAM0168,Email,Groceries,Kuala Lumpur,57558,11311,,15138,0.006,7558,0.5934,661168,1.34,228,9/4/2023,30/8/2023,4,,Medium
CAM0169,,Fashion,Johor,,70451,,66579.16034,0.0086,8409,0.6835,896352,1.86,108,29/12/2023,7/1/2023,1,7,Low
CAM0170,Social Media,Electronics,Sarawak,26117,130586,,40763,0.8899,2828,0.117,154719,1.27,165,16/7/2023,21/1/2023,4,5,Low
CAM0171,Radio,Groceries,Kuala Lumpur,375641,46319,,38367,0.7899,5178,0.1527,924017,,,16/12/2023,27/1/2023,3,2,Medium
CAM0172,Radio,Automotive,Sarawak,140052,315549,979786,,0.9973,6170,0.9975,609947,3.34,302,,21/7/2023,5,10,High
CAM0173,Social Media,Electronics,Kuala Lumpur,254510,97162,312047,39003,0.4507,3998,0.5032,729173,,142,16/11/2023,8/1/2023,4,4,Low
CAM0174,Billboard,Groceries,Kuala Lumpur,406629,,684459,49577,0.8422,6747,0.1503,,4.49,156,4/4/2023,17/10/2023,5,3,Medium
CAM0175,Radio,Groceries,Johor,474698,,956837,33147,0.9396,4115,0.5375,673159,1.55,28,13/7/2023,3/3/2023,2,,Medium
CAM0176,Email,Health,Penang,169368,47630,615547,25691,0.0659,9902,0.9838,347872,24.00101769,181,23/10/2023,,,10,High
CAM0177,Billboard,Electronics,Penang,,209241,790702,35784,0.7419,9680,0.3386,69123,4.27,80,30/7/2023,22/5/2023,3,,Medium
CAM0178,Social Media,,,,36501,489954,,0.5498,1345,0.7654,866680,1.11,211,27/12/2023,9/2/2023,2,44.45747469,Medium
CAM0179,Social Media,Health,Johor,406773,116369,947710,47495,0.8164,9361,0.6177,592728,3.6,278,19/1/2023,7/9/2023,1,4,Low
CAM0180,Radio,Groceries,Kuala Lumpur,,14076,251480,,0.3554,6690.497349,0.11,143541,,138,23/9/2023,1/5/2023,2,9,Low
CAM0181,Radio,Automotive,Sarawak,459016,106318,277883,7568,,7294,0.8139,807205,,35,10/1/2023,9/11/2023,2,,High
CAM0182,Email,Automotive,Penang,,270728,,31730,0.2956,4601,0.2636,642286,,119,21/6/2023,26/2/2023,2,,High
CAM0183,Billboard,Automotive,Johor,85009,116426,733648,47870,0.5643,3045,0.3876,153312,0.85,107,9/5/2023,7/7/2023,,8,High
CAM0184,Email,Groceries,Kuala Lumpur,299190,179342,788758,38218,0.8083,8041,0.6855,859115,0.55,261,2/4/2023,3/6/2023,3,,
CAM0185,TV,Fashion,,226526,250010,838462,33859,0.0705,,0.6715,,0.52,1854.05775,17/10/2023,22/6/2023,1,6,
CAM0186,Radio,,Johor,194069,73624,344001,32345,0.2002,3326,0.1858,404526,1.32,36,22/3/2023,28/12/2023,1,6,Low
CAM0187,,Electronics,Sarawak,494650,39480,207908,44529,,9852,,,3.28,1102.980531,22/12/2023,10/10/2023,3,2,Medium
,,Health,Penang,403158,121014,839916,444,0.1912,,0.209,102387,4.73,357,20/9/2023,21/4/2023,4,9,Low
CAM0189,Social Media,Groceries,Kuala Lumpur,458354,180921,814924,23285,0.0365,1407,0.6862,,1.71,149,19/4/2023,25/4/2023,4,7,Low
,Billboard,Automotive,Johor,197622,33024,71736,37349,0.4431,4840,0.2044,479984,2.93,144,27/9/2023,4/1/2023,1,6,Low
CAM0191,Email,Groceries,Kuala Lumpur,452595,188727,774290,19520,0.7978,1929,0.5295,367919,,231,23/12/2023,2/4/2023,9.211087736,6,Medium
CAM0192,Billboard,Health,Kuala Lumpur,317828,326960,,27201,0.6983,400,0.438,,0.34,,19/9/2023,19/11/2023,3,9,High
CAM0193,,Groceries,Penang,35732,118660,693550,18996,,,0.934,666793,2.25,159,7/5/2023,15/6/2023,2,3,Low
CAM0194,Billboard,Electronics,Sabah,169057,382054,82139,,0.7605,7798,0.2745,755872,4.09,,17/7/2023,31/1/2023,4,9,Medium
